Resaurant,Location,Foodstamps,Delivery,Meal Title,Price,Fat (g),Carb (g),Protein (g),Sugar (g),Sodium (mg),Calories,Fast Food,Mexican,Thai,Indian,Chinese,Japanese,Caribbean,Mediterranean,Vegetarian,Vegan,Sandwiches,American,Meat,Seafood
Harry's Bar & Burger,"121 North Main St. Providence, RI 02903",,FALSE,Chicken B.L.C.,$5.99,18,39,17,5,659,394,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Harry's Bar & Burger,"121 North Main St. Providence, RI 02903",,FALSE,Buffalo Chicken Sandwich,$6.49,17,76,47,2,1412,647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Harry's Bar & Burger,"121 North Main St. Providence, RI 02903",,FALSE,Veggie Black Bean Burger,$5.59,4,30,10,0,750,650,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Harry's Bar & Burger,"121 North Main St. Providence, RI 02903",,FALSE,BBQ Pulled Pork,$5.99,14,48,24,17,1230,410,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Harry's Bar & Burger,"121 North Main St. Providence, RI 02903",,FALSE,Harry's Classic,$3.99,13,24,21,3,290,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Pizza Pie-er,"374 Wickenden St, Providence, RI 02903",,TRUE,Greek Salad with Dressing,$6.50,39,33,8,0,1737,270,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Pizza Pie-er,"374 Wickenden St, Providence, RI 02903",,TRUE,Ceasar Salad with Dressing and Chicken,$8.20,40,35,48,9,2680,670,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Pizza Pie-er,"374 Wickenden St, Providence, RI 02903",,TRUE,Veggie Delight Wrap,$9.99,21,56,20,0,1502,587,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Pizza Pie-er,"374 Wickenden St, Providence, RI 02903",,TRUE,Chicken Caesar Wrap,$9.99,32,52,31,2,1590,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Pizza Pie-er,"374 Wickenden St, Providence, RI 02903",,TRUE,Grek D'lite-er,$6.99,34,76,46,0,1278,808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Louis Family Restaurant,"286 Brook St, Providence, RI 02906",,TRUE,Huevos Rancheros,$7.25,12,18,8,0,245,320,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Louis Family Restaurant,"286 Brook St, Providence, RI 02906",,TRUE,Poached Passion,$7.25,12,29,21,2,309,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Louis Family Restaurant,"286 Brook St, Providence, RI 02906",,TRUE,Turkey Club,$8.50,24,37,31,8,1610,480,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Louis Family Restaurant,"286 Brook St, Providence, RI 02906",,TRUE,Veggie Omelette,$8.75,16,6,20,3,321,250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Louis Family Restaurant,"286 Brook St, Providence, RI 02906",,TRUE,Tuna Melt,$5.95,17,29,13,2,740,320,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
East Side Pockets,"278 Thayer St, Providence, RI 02906",,FALSE,Chicken Kabob Pocket,$6.02,17,54,49,5,1516,570,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
